pattern_name,section_order,cta_placement,color_strategy,effects,conversion_tips
Blog/Content,Hero article → Featured posts grid → Category navigation → Newsletter signup → Archive,Newsletter signup after featured posts; sticky sidebar CTA,Clean readable typography-focused; subtle category colors,Smooth article card hover; reading progress bar; infinite scroll,Prioritize readability over design; show reading time; use compelling featured images
Restaurant Menu,Hero food image → Menu highlights → About/Story → Gallery → Reservation CTA → Location map,Reservation CTA in header and after gallery; floating mobile CTA,Warm appetizing colors; dark elegant header; warm body sections,Food image parallax; menu category tabs; gallery lightbox,Use high-quality food photography; keep menu scannable; make reservation prominent
Portfolio Showcase,Full-screen project hero → Project grid → About → Skills → Contact CTA,Contact CTA after about section; project CTAs inline,Minimal palette; let project colors shine; dark or light base,Project hover reveals; smooth page transitions; cursor effects,Let work speak for itself; curate don't show everything; make contact easy
E-commerce Collection,Hero banner → Category grid → Featured products → New arrivals → Newsletter → Trust badges,Add to cart on product hover; collection CTA in hero; sticky cart,Category-specific accent colors; trust green for badges; urgency red for sales,Quick-view product overlay; add-to-cart animation; infinite scroll products,Show prices clearly; use high-quality product images; minimize clicks to purchase
Event/Conference,Hero with date countdown → Speakers grid → Schedule → Venue → Sponsors → Register CTA,Register CTA in hero and sticky header; after speakers section,Bold event branding; speaker section neutral; sponsor section clean,Countdown timer; speaker card flip; schedule tab animation,Lead with the date and headline speaker; show the venue; create FOMO with limited tickets
Educational Course,Hero with instructor → Curriculum outline → Student results → Testimonials → Pricing → Enroll CTA,Enroll CTA after curriculum and after testimonials; sticky bottom bar,Professional trust colors; warm instructor section; clear pricing,Curriculum accordion expand; progress indicator; video preview modal,Show what students achieve; break curriculum into digestible modules; offer money-back guarantee
Non-Profit Impact,Hero with impact image → Mission statement → Impact numbers → Stories → Donate CTA → Partners,Donate CTA in hero; floating donate button; after impact stories,Emotional warm colors; hope-inspiring greens; urgent orange CTAs,Impact counter animation; story carousel; donation amount selector,Lead with emotion not logic; show specific impact per dollar; make donation amounts tangible
App Landing,Hero with phone mockup → Feature carousel → App store ratings → Screenshots → Download CTA,Download CTA in hero; app store buttons after screenshots; QR code,App brand colors; clean white sections; platform-specific buttons,Phone mockup rotation; screenshot carousel; rating star animation,Show the app in context; feature phone screenshots; include app store ratings
Real Estate Listing,Hero property gallery → Property details → Floor plan → Neighborhood → Agent contact → Similar properties,Contact agent CTA sticky sidebar; schedule viewing after details,Premium neutral tones; property-specific accent; trust professional colors,Image gallery slider; virtual tour embed; map interaction; mortgage calculator,Lead with best property photo; show floor plans; include neighborhood info
Startup One-Pager,Hero with value prop → How it works (3 steps) → Features → Testimonial → CTA,Single strong CTA repeated 2-3 times; hero and bottom,Bold primary gradient hero; clean white middle; dark footer CTA,Scroll-triggered step animations; feature icon animations; CTA pulse,Keep it to one page; explain in 3 simple steps; one clear CTA action
Marketplace Two-Sided,Hero addressing both sides → Seller benefits → Buyer benefits → How it works → Trust/Safety → Join CTA,Dual CTAs for buyers and sellers; after trust section,Split design for two audiences; neutral shared sections; distinct CTAs,Split-screen hero; tab switching between audiences; trust badge animations,Address both audiences clearly; show transaction safety; highlight success stories from both sides
Freemium Upgrade,Hero with free tier → Free features → Premium comparison → Success stories → Upgrade CTA,Upgrade CTA after comparison table; trial CTA in hero,Free tier neutral; premium tier primary/gold; clear visual hierarchy,Feature unlock animations; premium glow effects; comparison slide,Make free tier genuinely useful; show clear upgrade value; use progressive disclosure
Agency Services,Hero with reel/portfolio → Services grid → Process steps → Case studies → Team → Contact CTA,Contact CTA after case studies; floating contact button,Bold creative palette; professional case study sections; approachable team,Portfolio autoplay reel; service card hover details; case study before/after,Show results not just services; highlight the process; make team approachable
Medical/Health,Hero with reassuring image → Services → Doctor profiles → Patient testimonials → Insurance → Book appointment CTA,Book appointment in header; after doctor profiles; floating mobile CTA,Calming teal/blue; warm doctor sections; accessible contrast,Smooth appointment calendar; doctor filter; symptom checker interactive,Lead with trust and credentials; show real doctors; make booking frictionless
