product_type,recommended_style,color_mood,typography_mood,key_effects,anti_patterns,severity
Real Estate,Property Showcase,Teal trust + Gold premium,Modern premium sans-serif,Map interactions image galleries,Low-quality property photos,HIGH
Real Estate (Luxury),Premium Gallery,Black + Gold luxury,Thin elegant serif,Full-screen galleries smooth transitions,Cluttered listings with small images,HIGH
Travel/Tourism,Immersive Visual,Blue sky + Orange adventure,Open adventurous sans-serif,Full-width imagery parallax scroll,Text-heavy pages instead of visual storytelling,HIGH
Fitness/Gym,Bold Energetic,Red energy + Yellow power,Bold impact display,Dynamic transitions progress bars,Passive calm aesthetic for active brand,MEDIUM
Fitness (Yoga/Wellness),Calm Minimal,Teal calm + Purple spiritual,Soft rounded sans-serif,Gentle transitions breathing animations,Aggressive bold design for wellness,HIGH
Legal Services,Authority Trust,Navy authority + Gold accent,Formal serif headings,Subtle professional transitions,Playful or casual design elements,HIGH
Accounting/Finance,Clean Professional,Teal professional + Blue action,Clean stable sans-serif,Data tables subtle animations,Flashy design that undermines credibility,HIGH
Non-Profit/Charity,Emotional Storytelling,Green hope + Orange action,Warm humanist serif-sans,Story scroll impact counters,Corporate cold aesthetic,HIGH
Gaming,Immersive Dark,Purple glow + Red accent,Futuristic bold display,Particle effects glow animations,Clean minimal corporate look,HIGH
Music/Entertainment,Visual Rhythm,Pink vibrant + Gold accent,Edgy creative display,Audio visualizers scroll animations,Static boring layouts,MEDIUM
Photography/Portfolio,Gallery Minimal,Black minimal + Orange accent,Minimal thin sans-serif,Masonry grid lightbox transitions,Cluttered layout competing with photos,HIGH
Agency/Creative,Bold Experimental,Purple creative + Orange energy,Creative expressive display,Custom cursor scroll animations,Safe generic corporate template look,HIGH
Consulting,Professional Authority,Blue trust + Amber accent,Professional stable sans-serif,Subtle transitions case study reveals,Overly creative design that distracts,MEDIUM
Media/News,Content Hierarchy,Red urgency + Blue links,Readable editorial serif-sans,Infinite scroll lazy loading,Auto-playing video with sound,HIGH
Social Media App,Engaging Colorful,Purple social + Pink accent,Modern rounded sans-serif,Smooth transitions pull-to-refresh,Cluttered feeds without visual hierarchy,HIGH
Marketplace,Trust Grid,Green trust + Orange deals,Clean scannable sans-serif,Filter animations product hover,Missing seller trust indicators,HIGH
Automotive,Premium Showcase,Black premium + Red accent,Bold modern sans-serif,360 views smooth image galleries,Cheap-looking layouts for premium products,HIGH
Pet/Veterinary,Warm Friendly,Yellow warm + Green health,Friendly rounded sans-serif,Playful micro-interactions,Clinical cold aesthetic for pet owners,MEDIUM
Wedding/Events,Romantic Elegant,Pink romantic + Gold accent,Romantic elegant serif,Gentle parallax flower animations,Bold aggressive design for weddings,HIGH
Kids/Children,Playful Colorful,Blue safe + Yellow fun,Playful rounded sans-serif,Bouncy animations character movements,Small text and complex navigation,HIGH
Productivity App,Clean Focused,Blue focus + Green success,Clean minimal sans-serif,Smooth transitions subtle feedback,Visual clutter that breaks focus,HIGH
Developer Tools,Dark Technical,Dark bg + Cyan accent,Monospace technical,Code syntax highlighting terminal effects,Light mode only without dark option,MEDIUM
AI/ML Platform,Futuristic Gradient,Purple AI + Cyan tech,Modern geometric sans-serif,Gradient animations data flow viz,Overhyping AI with generic robot imagery,HIGH
Sustainability/Green,Natural Organic,Green nature + Amber earth,Earthy natural serif-sans,Nature imagery smooth transitions,Greenwashing with excessive green color,MEDIUM
Beauty/Cosmetics,Soft Glamorous,Pink soft + Gold glamour,Elegant soft serif-sans,Product reveal hover effects,Harsh industrial aesthetic,HIGH
